URL,문제제목,정답률,분류정보,태그1,태그2,태그3
https://www.hackerrank.com/challenges/validating-the-phone-number,Validating phone numbers,0.960728,Regex and Parsing,정규표현식,,
https://www.hackerrank.com/challenges/validating-named-email-addresses,Validating and Parsing Email Addresses,0.887828,Regex and Parsing,정규표현식,,
https://www.hackerrank.com/challenges/hex-color-code,Hex Color Code,0.96435,Regex and Parsing,정규표현식,,
https://www.hackerrank.com/challenges/html-parser-part-1,HTML Parser - Part 1,0.9479,Regex and Parsing,기타,,
https://www.hackerrank.com/challenges/html-parser-part-2,HTML Parser - Part 2,0.98318,Regex and Parsing,기타,,
https://www.hackerrank.com/challenges/detect-html-tags-attributes-and-attribute-values,"Detect HTML Tags, Attributes and Attribute Values",0.978141,Regex and Parsing,기타,,
https://www.hackerrank.com/challenges/xml-1-find-the-score,XML 1 - Find the Score,0.975546,XML,기타,,
https://www.hackerrank.com/challenges/validating-uid,Validating UID,0.95829,Regex and Parsing,정규표현식,,
https://www.hackerrank.com/challenges/validating-credit-card-number,Validating Credit Card Numbers,0.951983,Regex and Parsing,정규표현식,,
https://www.hackerrank.com/challenges/xml2-find-the-maximum-depth,XML2 - Find the Maximum Depth,0.968081,XML,기타,,
https://www.hackerrank.com/challenges/standardize-mobile-number-using-decorators,Standardize Mobile Number Using Decorators,0.977487,Closures and Decorators,문자열 이용,,
https://www.hackerrank.com/challenges/validating-postalcode,Validating Postal Codes,0.851728,Regex and Parsing,정규표현식,,
https://www.hackerrank.com/challenges/decorators-2-name-directory,Decorators 2 - Name Directory,0.907428,Closures and Decorators,모듈과 패키지,,
https://www.hackerrank.com/challenges/matrix-script,Matrix Script,0.87796,Regex and Parsing,정규표현식,,
https://www.hackerrank.com/challenges/words-score,Words Score,0.954291,Debugging,list,,
https://www.hackerrank.com/challenges/np-arrays,Arrays,0.958109,Numpy,기타,,
https://www.hackerrank.com/challenges/np-shape-reshape,Shape and Reshape,0.962802,Numpy,기타,,
https://www.hackerrank.com/challenges/default-arguments,Default Arguments,0.80641,Debugging,객체 지향적 사고,,
https://www.hackerrank.com/challenges/np-transpose-and-flatten,Transpose and Flatten,0.969415,Numpy,기타,,
https://www.hackerrank.com/challenges/np-concatenate,Concatenate,0.990601,Numpy,기타,,
https://www.hackerrank.com/challenges/np-zeros-and-ones,Zeros and Ones,0.946406,Numpy,기타,,
https://www.hackerrank.com/challenges/np-eye-and-identity,Eye and Identity,0.941737,Numpy,기타,,
https://www.hackerrank.com/challenges/np-array-mathematics,Array Mathematics,0.947421,Numpy,기타,,
https://www.hackerrank.com/challenges/floor-ceil-and-rint,"Floor, Ceil and Rint",0.963759,Numpy,기타,,
https://www.hackerrank.com/challenges/np-sum-and-prod,Sum and Prod,0.983712,Numpy,기타,,
https://www.hackerrank.com/challenges/np-min-and-max,Min and Max,0.986357,Numpy,기타,,
https://www.hackerrank.com/challenges/np-mean-var-and-std,"Mean, Var, and Std",0.948152,Numpy,기타,,
https://www.hackerrank.com/challenges/np-dot-and-cross,Dot and Cross,0.988531,Numpy,기타,,
https://www.hackerrank.com/challenges/np-inner-and-outer,Inner and Outer,0.985111,Numpy,기타,,
https://www.hackerrank.com/challenges/np-polynomials,Polynomials,0.990737,Numpy,기타,,
https://www.hackerrank.com/challenges/np-linear-algebra,Linear Algebra,0.944751,Numpy,기타,,
