https://www.acmicpc.net/problem/ + 문제번호 -> URL,,,,,,,
문제번호,문제제목,정답률,분류정보,사용여부,태그1,태그2,태그3
3036,링,82.08%,최대공약수/최소공배수 단계,,함수 사용,,
2455,지능형 기차,80.04%,시뮬레이션 단계,,흐름제어,,
1094,막대기,73.28%,시뮬레이션 단계,,흐름제어,,
1057,토너먼트,54.99%,시뮬레이션 단계,,흐름제어,,
1024,수열의 합,25.82%,시뮬레이션 단계,,흐름제어,,
10253,헨리,28.55%,시뮬레이션 단계,,함수 사용,,
1107,리모컨,22.18%,시뮬레이션 단계,X,진짜 별로..,,
10219,Meats On The Grill,61.89%,시뮬레이션 단계,,list,,
1547,공,71.42%,시뮬레이션 단계,,list,,
3163,떨어지는 개미,29.93%,시뮬레이션 단계,X,,,
11004,K째 수,37.91%,분할 정복 단계,X,Sorting,,
1780,종이의 개수,58.65%,분할 정복 단계,X,알고리즘기타,,
6549,히스토그램에서 가장 큰 직사각형,24.92%,분할 정복 단계,X,알고리즘기타,자료구조,
2740,행렬 곱셈,72.06%,분할 정복 단계,X,함수 사용,,
1992,쿼드트리,56.49%,분할 정복 단계,X,함수 사용,,
2263,트리의 순회,38.14%,분할 정복 단계,X,자료구조,,
2447,별 찍기 10,54.46%,분할 정복 단계,X,함수 사용,,
1074,Z,42.87%,분할 정복 단계,X,함수 사용,,
2261,가장 가까운 두 점,15.23%,분할 정복 단계,X,알고리즘 기타,,
1977,완전제곱수,44.60%,수학 단계,X,,,
1016,제곱 ㄴㄴ 수,18.75%,수학 단계,X,,,
1015,수열 정렬,45.52%,수학 단계,X,,,
12796,나의 행렬곱셈 답사기,64.83%,수학 단계,X,,,
10220,Self Representing Seq,56.89%,수학 단계,X,,,
11778,피보나치 수와 최대공약수,37.66%,수학 단계,X,,,
11689,"GCD(n, k) = 1",33.30%,수학 단계,X,,,
2309,일곱 난쟁이,48.10%,브루트 포스 단계,,dfs/bfs,greedy,
2231,분해합,55.43%,브루트 포스 단계,,dfs/bfs,greedy,
7568,덩치,61.53%,브루트 포스 단계,,dfs/bfs,greedy,
1038,감소하는 수,29.26%,브루트 포스 단계,,dfs/bfs,greedy,
1991,트리 순회,61.95%,트리 사용하기 단계,,자료구조,함수 사용,
11725,트리의 부모 찾기,43.20%,트리 사용하기 단계,,dfs/bfs,,
1167,트리의 지름,37.23%,트리 사용하기 단계,,dfs/bfs,,
2250,트리의 높이와 너비,26.73%,트리 사용하기 단계,,dfs/bfs,,
1967,트리의 지름,46.32%,트리 사용하기 단계,,dfs/bfs,,
1693,트리 색칠하기,24.95%,트리 사용하기 단계,,동적프로그래밍,,
1289,트리의 가중치,29.76%,트리 사용하기 단계,,dfs/bfs,,
7576,토마토,29.55%,"그래프 (DFS,BFS) 단계",,dfs/bfs,,
7569,토마토,35.80%,"그래프 (DFS,BFS) 단계",,dfs/bfs,,
2178,미로 탐색,33.39%,"그래프 (DFS,BFS) 단계",,dfs/bfs,,
2606,바이러스,40.59%,"그래프 (DFS,BFS) 단계",,dfs/bfs,,
2667,단지호붙이기,38.25%,"그래프 (DFS,BFS) 단계",,dfs/bfs,,
10216,Count Circle Groups,27.35%,"그래프 (DFS,BFS) 단계",,dfs/bfs,,
1890,점프,26.91%,"그래프 (DFS,BFS) 단계",,dfs/bfs,,
1325,효율적인 해킹,21.71%,"그래프 (DFS,BFS) 단계",,dfs/bfs,,
10451,순열 사이클,63.11%,"그래프 (DFS,BFS) 단계",,dfs/bfs,,
3665,최종 순위,31.21%,그래프 (위상 정렬) 단계,,그래프알고리즘,,
2252,줄 세우기,51.49%,그래프 (위상 정렬) 단계,,그래프알고리즘,,
1516,게임 개발,45.96%,그래프 (위상 정렬) 단계,,그래프알고리즘,,
1766,문제집,45.61%,그래프 (위상 정렬) 단계,,그래프알고리즘,,
1753,최단경로,23.51%,그래프 (최단 거리) 단계,,그래프알고리즘,,
1504,특정한 최단 경로,22.87%,그래프 (최단 거리) 단계,,그래프알고리즘,,
1865,웜홀,30.60%,그래프 (최단 거리) 단계,,그래프알고리즘,,
11657,타임머신,32.02%,그래프 (최단 거리) 단계,,그래프알고리즘,,
10217,KCM Travel,16.43%,그래프 (최단 거리) 단계,,그래프알고리즘,,
2902,KMP는 왜 KMP일까?,79.52%,문자열 사용하기 (중간) 단계,,알고리즘 기타,,
1786,찾기,25.49%,문자열 사용하기 (중간) 단계,,알고리즘 기타,,
1701,Cubeditor,33.56%,문자열 사용하기 (중간) 단계,,알고리즘 기타,,
4354,문자열 제곱,37.28%,문자열 사용하기 (중간) 단계,,알고리즘 기타,,
9248,Suffix Array,36.83%,문자열 사용하기 (중간) 단계,,알고리즘 기타,,
11478,서로 다른 부분 문자열의 개수,54.75%,문자열 사용하기 (중간) 단계,,알고리즘 기타,고급2단계 정도급이긴 함..,
2809,아스키 거리,17.48%,문자열 사용하기 (중간) 단계,,알고리즘 기타,,
11003,최솟값 찾기,27.37%,슬라이딩 윈도우 단계,,알고리즘 기타,,
2470,두 용액,30.52%,슬라이딩 윈도우 단계,,알고리즘 기타,,
2473,세 용액,24.03%,슬라이딩 윈도우 단계,,알고리즘 기타,,
2096,내려가기,35.60%,슬라이딩 윈도우 단계,,알고리즘 기타,,
1920,수 찾기,27.54%,이분 탐색 단계,,Searching,,
